SUBCOUNTY,HEALTH FACILITY,PERIOD,POPN,BCG,Polio0,HepB0,Polio1,Polio2,Polio3,IPV,IPV2,PENTA1,PENTA2,PENTA3,PCV1,PCV2,PCV3,Rota1 ,Rota2,Rota3,MR1,YF,Fully_imm,MR2,HPV1-Dose 1,HPV2-Dose 2,VitA1,VitA2,DEW1,DEW2,BCG_POLIO_TARGET,EPI_TARGET,HPV_TARGET,DEW_TARGET,VITA_TARGET
Goma Division,Goma Health Centre III,Jan-25,5675,301,237,186,287,311,286,367,367,348,359,340,360,351,357,199,214,185,379,324,379,132,1,0,551,124,212,177,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Feb-25,5675,240,238,165,331,350,323,314,314,308,327,307,327,345,328,284,281,271,375,329,375,221,198,139,573,94,241,144,275.2,244,87.4,2366.5,1027.2
Goma Division,Goma Health Centre III,Mar-25,5675,264,243,154,334,345,342,342,326,334,345,342,334,345,342,334,345,342,334,326,326,144,101,188,613,80,314,151,275.2,244,87.4,2366.5,1027.2
Goma Division,Nantabulirwa Health Centre III,Jul-24,816.7,31,26,11,86,111,91,178,91,87,108,96,80,111,93,86,98,96,124,82,124,38,0,0,110,146,70,149,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Aug-24,816.7,51,31,26,96,101,112,205,107,97,23,110,96,103,111,93,100,110,103,108,103,42,0,0,116,148,148,42,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Sep-24,816.7,35,26,22,81,86,90,238,87,81,87,90,81,94,91,81,86,90,89,97,89,39,41,27,105,192,192,615,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Oct-24,816.7,9,28,15,93,96,86,177,80,93,94,86,93,95,83,93,87,95,96,92,96,37,100,0,81,140,185,2897,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Nov-24,816.7,40,32,25,91,112,103,199,112,101,117,105,92,117,101,92,118,105,83,85,83,38,84,0,123,170,170,87,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Dec-24,816.7,44,12,23,33,37,28,170,82,88,95,79,86,88,66,0,0,76,66,66,66,32,0,0,73,130,130,203,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Jan-25,816.7,44,15,16,54,53,58,191,107,85,85,97,91,84,102,59,59,0,125,123,125,51,0,0,97,151,151,248,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Feb-25,816.7,27,29,16,87,98,113,175,90,85,100,87,85,100,86,64,79,0,105,98,97,97,0,0,59,0,0,0,39.6,35.1,12.6,340.6,147.8
Goma Division,Nantabulirwa Health Centre III,Mar-25,816.7,44,35,24,100,115,88,190,89,100,114,90,102,112,89,88,109,0,75,29,171,59,0,0,121,171,171,292,39.6,35.1,12.6,340.6,147.8
Goma Division,Nyanja (Mukono) Health Centre III,Jul-24,1233.3,4,1,1,5,8,14,19,8,5,8,14,5,8,14,5,8,14,8,14,2,0,0,0,59,33,39,19,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Aug-24,1233.3,12,8,8,11,7,12,20,7,11,7,12,11,7,12,11,2,12,13,8,1,2,0,0,26,27,45,52,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Sep-24,1233.3,0,0,0,18,19,12,29,18,18,18,13,18,19,13,18,19,13,20,13,6,21,5,0,47,46,76,57,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Oct-24,1233.3,20,5,5,19,22,22,22,22,19,22,22,19,22,22,19,18,22,25,20,25,9,72,66,167,25,243,160,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Nov-24,1233.3,21,18,18,29,30,33,49,31,30,31,28,25,31,34,25,31,28,22,25,28,12,21,0,108,152,223,262,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Dec-24,1233.3,6,7,1,9,15,11,21,17,9,13,11,9,11,9,15,10,0,0,2,10,7,3,2,64,74,132,78,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Jan-25,1233.3,20,16,0,49,37,31,77,0,49,37,31,49,37,37,31,49,0,26,0,43,16,4,0,96,32,93,61,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Feb-25,1233.3,23,18,0,48,50,38,85,0,45,49,38,45,49,38,45,49,0,33,0,39,15,4,0,127,105,182,128,59.8,53,19,514.3,223.2
Goma Division,Nyanja (Mukono) Health Centre III,Mar-25,1233.3,20,20,0,48,49,59,54,0,48,44,59,48,44,59,40,42,0,43,42,0,0,15,5,38,26,100,5,59.8,53,19,514.3,223.2
Goma Division,Goma Division,Jul-24,10100,333,258,161,529,560,503,658,379,533,548,444,524,560,507,506,533,352,528,402,466,182,362,7,785,387,427,339,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Aug-24,10100,330,283,179,478,509,516,614,402,486,428,509,486,507,514,492,483,399,463,362,411,185,137,84,772,492,662,384,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Sep-24,10100,315,269,140,496,455,486,673,406,488,457,495,489,463,496,487,456,393,469,408,405,211,112,148,614,475,6977,880,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Oct-24,10100,301,285,171,566,574,529,663,412,567,575,535,561,579,526,577,578,413,514,414,454,146,409,170,1258,725,1506,3487,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Nov-24,10100,301,279,157,456,464,451,594,415,465,469,448,447,470,450,447,474,397,476,435,425,309,311,69,2568,878,2824,905,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Dec-24,10100,317,236,164,357,372,335,543,377,448,467,417,447,458,395,306,303,294,372,317,256,149,8,3,708,462,557,458,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Jan-25,10100,461,358,264,541,675,549,814,607,633,655,642,651,646,670,366,406,251,707,459,634,266,5,1,1016,533,658,633,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Feb-25,10100,407,391,274,654,673,645,779,547,626,650,603,645,668,623,579,583,339,676,561,645,361,202,150,986,367,577,422,489.9,434.3,155.5,4211.7,1828.1
Goma Division,Goma Division,Mar-25,10100,399,365,194,621,644,639,783,485,621,638,641,623,636,641,597,627,412,597,461,613,274,116,195,1010,472,1005,1475,489.9,434.3,155.5,4211.7,1828.1
Kasawo Subcounty,Kasana Health Centre II,Jul-24,691.7,13,9,9,18,22,14,14,18,18,22,14,18,19,14,18,22,19,29,18,19,0,0,0,48,21,35,21,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Aug-24,691.7,14,6,3,25,22,21,21,24,25,22,21,25,22,21,25,20,0,21,24,15,15,0,0,56,24,30,29,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Sep-24,691.7,17,5,5,27,16,21,21,27,27,16,21,27,16,21,27,16,21,14,16,14,15,0,0,0,0,0,0,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Oct-24,691.7,26,14,14,28,22,15,15,25,28,22,15,28,22,15,28,22,15,22,24,22,15,0,0,41,27,15,14,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Nov-24,691.7,19,10,2,27,22,22,22,21,27,22,22,27,22,22,27,20,0,17,17,17,24,71,120,52,33,24,33,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Dec-24,691.7,10,0,0,0,0,0,17,0,15,14,12,17,15,12,17,15,12,11,7,11,2,0,0,34,0,21,46,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Jan-25,691.7,19,4,2,19,21,18,22,22,32,28,24,32,28,28,32,28,27,25,0,24,0,0,0,66,41,45,41,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Feb-25,691.7,19,17,6,20,19,18,20,21,18,19,20,18,19,20,18,19,0,17,17,17,27,0,0,46,17,15,16,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kasana Health Centre II,Mar-25,691.7,17,8,3,17,18,16,14,14,17,18,15,17,18,15,16,18,0,26,21,0,4,0,0,39,19,18,19,33.5,29.7,10.7,288.4,125.2
Kasawo Subcounty,Kigogola Health Centre II,Jul-24,1150,18,11,7,31,31,39,69,24,31,41,39,31,41,39,30,41,39,27,27,27,9,0,0,0,28,10,6,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Aug-24,1150,19,14,6,25,22,36,25,36,25,22,36,25,22,35,25,21,36,25,25,24,9,0,0,0,0,0,0,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Sep-24,1150,22,7,13,28,22,24,24,24,27,22,24,26,22,24,25,22,24,35,33,33,9,0,0,78,15,12,4,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Oct-24,1150,27,14,3,23,22,22,23,22,23,21,22,23,23,22,23,21,22,35,32,34,13,0,0,46,16,28,13,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Nov-24,1150,55,34,22,46,40,48,46,41,45,41,56,46,41,52,44,38,43,99,41,71,136,437,125,932,870,2611,2066,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Dec-24,1150,26,14,0,35,34,25,34,8,34,34,25,34,34,25,34,34,25,21,21,21,8,0,2,49,14,18,14,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Jan-25,1150,28,8,5,22,12,17,44,29,44,21,32,13,14,18,43,20,29,39,37,38,12,0,0,68,35,38,35,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Feb-25,1150,26,23,23,44,37,32,40,31,40,32,27,46,37,32,40,41,31,39,24,22,1103,0,0,68,71,40,71,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kigogola Health Centre II,Mar-25,1150,25,15,9,37,49,33,37,34,37,49,33,118,49,33,37,49,33,28,28,27,11,0,0,79,21,46,21,55.8,49.5,17.7,479.6,208.2
Kasawo Subcounty,Kasawo Subcounty,Jul-24,1966.7,31,20,16,49,53,53,83,42,49,63,53,49,60,53,48,63,58,56,45,46,9,0,0,48,49,45,27,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Aug-24,1966.7,33,20,9,50,44,57,46,60,50,44,57,50,44,56,50,41,36,46,49,39,24,0,0,56,24,30,29,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Sep-24,1966.7,39,12,18,55,38,45,45,51,54,38,45,53,38,45,52,38,45,49,49,47,24,0,0,78,15,12,4,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Oct-24,1966.7,53,28,17,51,44,37,38,47,51,43,37,51,45,37,51,43,37,57,56,56,28,0,0,87,43,43,27,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Nov-24,1966.7,74,44,24,73,62,70,68,62,72,63,78,73,63,74,71,58,43,116,58,88,160,508,245,984,903,2635,2099,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Dec-24,1966.7,36,14,0,35,34,25,51,8,49,48,37,51,49,37,51,49,37,32,28,32,10,0,2,83,14,39,60,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Jan-25,1966.7,47,12,7,41,33,35,66,51,76,49,56,45,42,46,75,48,56,64,37,62,12,0,0,134,76,83,76,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Feb-25,1966.7,45,40,29,64,56,50,60,52,58,51,47,64,56,52,58,60,31,56,41,39,1130,0,0,114,88,55,87,95.4,84.6,30.3,820.1,356
Kasawo Subcounty,Kasawo Subcounty,Mar-25,1966.7,42,23,12,54,67,49,51,48,54,67,48,135,67,48,53,67,33,54,49,27,15,0,0,118,40,64,40,95.4,84.6,30.3,820.1,356
Kasawo Town Council,Kasawo Health Centre III,Jul-24,2550,99,67,52,91,86,79,91,78,91,86,79,91,86,79,91,85,78,72,69,69,32,2,2,127,94,68,94,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Aug-24,2550,89,55,36,80,63,71,80,69,80,63,71,80,63,71,80,63,69,53,53,50,0,0,0,108,75,70,75,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Sep-24,2550,87,70,36,100,81,76,99,76,100,81,77,100,81,76,99,80,76,67,65,64,28,5,0,127,51,64,51,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Oct-24,2550,107,77,24,100,97,77,100,77,100,97,77,100,97,77,100,97,77,70,70,68,24,278,62,1086,513,2282,1718,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Nov-24,2550,167,70,11,208,132,284,208,284,208,132,284,208,132,284,127,105,284,654,270,270,1050,95,20,1031,413,1487,1046,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Dec-24,2550,67,46,25,69,59,72,69,72,69,59,72,69,59,72,68,58,72,47,45,44,12,0,0,95,23,42,23,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Jan-25,2550,93,47,0,78,42,49,105,71,105,64,72,105,64,72,105,64,71,71,71,71,24,0,0,126,58,99,58,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Feb-25,2550,108,89,67,97,99,72,97,72,97,99,72,97,99,72,97,98,72,58,58,55,37,20,0,113,54,50,54,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Health Centre III,Mar-25,2550,88,67,43,98,83,95,98,95,98,83,95,98,83,95,97,83,94,53,53,53,24,0,0,128,65,49,65,123.7,109.7,39.3,1063.4,461.6
Kasawo Town Council,Kasawo Mission Health Centre III,Jul-24,558.3,27,27,11,30,32,36,30,20,30,32,36,30,32,36,31,32,35,18,18,18,5,0,0,59,61,69,264,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Aug-24,558.3,26,26,6,21,34,30,21,30,21,34,30,21,34,30,21,34,30,23,23,21,21,0,0,259,112,364,397,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Sep-24,558.3,35,23,0,26,26,32,26,32,26,26,32,26,26,32,26,26,32,34,33,33,4,0,0,115,74,169,204,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Oct-24,558.3,31,21,10,46,28,33,26,34,46,28,33,39,26,34,39,26,46,30,22,29,19,3,0,61,127,231,127,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Nov-24,558.3,37,37,6,31,34,34,31,34,30,34,34,31,34,34,31,34,31,45,41,42,76,370,34,167,418,488,733,27.1,24,8.6,232.8,101.1
